,lon,lat
WINDSOR -  CO,-104.9013617,40.4774818
HAUPPAUGE -  NY,-73.2026138,40.8256536
ROYAL OAK -  MI,-83.1446485,42.4894801
GILBERT -  AZ,-111.789027,33.3528264
POTTSTOWN -  PA,-75.6496302,40.2453741
NOVI -  MI,-83.4754913,42.48059
CITY OF INDUSTRY -  CA,-117.9586754,34.0197335
SAN BERNARDINO -  CA,-117.2897652,34.1083449
DEFIANCE -  MO,-90.7781828,38.6325028
TAMPA -  FL,-82.4571776,27.950575
LINWOOD -  NJ,-74.5751557,39.3398382
EL PASO -  TX,-106.4424559,31.7775757
EDINBORO -  PA,-80.1317236,41.8742225
SUNCOOK -  NH,-71.4531241,43.130638
PEMBROKE PINES -  FL,-80.2962555,26.007765
HUMBLE -  TX,-95.2621553,29.9988312
MONTEBELLO -  CA,-118.1137535,34.0165053
BRADENTON -  FL,-82.5748194,27.4989278
KANSAS CITY -  MO,-94.5785667,39.0997265
LOUISVILLE -  CO,-105.1319296,39.977763
CANTON -  OH,-81.378447,40.7989473
ESSINGTON -  PA,-75.2969952,39.862153
NILES -  IL,-87.8028402,42.0189191
TORRANCE -  CA,-118.3406288,33.8358492
BOZEMAN -  MT,-111.047222,45.677778
SAINT CLOUD -  MN,-94.1632404,45.5579451
CLINTON -  IL,-88.9645253,40.1536479
LOCKWOOD -  MO,-93.9532705,37.3856044
PRESTON -  MD,-75.9099361,38.7126151
PLEASANTON -  CA,-121.8746789,37.6624312
PORTAGE -  OH,-83.6507668,41.3267189
LA CANADA FLINTRIDGE -  CA,-118.2000277,34.2068182
FAYETTEVILLE -  AR,-94.1574263,36.0625795
COTEAU-DU-LAC -  QC,-74.1746818,45.2916257
EAGAN -  MN,-93.1668858,44.8041322
NEW LENOX -  IL,-87.9656098,41.5119761
INVER GROVE HEIGHTS -  MN,-93.0427153,44.8480218
PFLUGERVILLE -  TX,-97.6200043,30.4393696
MANDEVILLE -  LA,-90.0656311,30.3582506
CANAL WINCHESTER -  OH,-82.8123646,39.8466556
WILSONVILLE -  OR,-122.7737062,45.2998418
TORONTO -  ON,-79.3831843,43.653226
HOLLAND -  MI,-86.1089301,42.7875235
MILWAUKIE -  OR,-122.6392606,45.4462305
SOUTHBOROUGH -  MA,-71.5245087,42.3056501
MOKENA -  IL,-87.8892189,41.5261437
ELGIN -  IL,-88.283333,42.033333
ALTOONA -  PA,-78.3947359,40.5186809
HUNTINGDON VALLEY -  PA,-75.0727956,40.1379904
MCDONOUGH -  GA,-84.1468616,33.4473361
LITHONIA -  GA,-84.1051939,33.7123305
BARTLETT -  TN,-89.8739753,35.2045328
CROSSETT -  AR,-91.9612427,33.1281779
BROOKFIELD -  IL,-87.8517253,41.8239203
